10,2000-04-06 11:00:32.0,1,96.04
19,2000-07-31 02:46:18.0,1,91.83
24,2000-03-30 14:53:52.0,1,98.38
25,2000-03-07 18:04:05.0,1,96.24
32,2000-08-28 11:54:28.0,1,94.89
33,2000-10-07 10:27:21.0,1,99.43
44,2000-04-28 00:46:03.0,1,95.3
53,2000-11-18 23:17:10.0,1,93.64
61,2000-01-10 06:36:29.0,1,99.56
63,2000-11-28 22:52:28.0,1,98.94
74,2000-09-28 05:28:44.0,1,96.04
75,2000-07-28 02:55:00.0,1,98.31
84,2000-11-14 03:09:30.0,1,91.15
85,2000-12-10 06:06:19.0,1,98.08
88,2000-01-01 10:41:46.0,1,93.06
97,2000-12-20 13:22:38.0,1,91.33
140,2000-11-06 00:47:27.0,1,95.7
155,2000-09-30 09:53:45.0,1,96.61
164,2000-10-21 16:40:33.0,1,92.46
174,2000-03-28 05:59:39.0,1,98.27
198,2000-11-25 16:44:17.0,1,96.59
213,2000-10-01 08:16:16.0,1,96.22
218,2000-08-21 16:53:51.0,1,96.59
230,2000-02-18 07:35:48.0,1,94.77
232,2000-04-19 20:15:00.0,1,90.87
234,2000-06-20 21:29:18.0,1,91.79
238,2000-11-20 04:35:36.0,1,98.77
249,2000-03-29 22:16:12.0,1,93.51
250,2000-12-10 23:02:15.0,1,91.96
274,2000-08-15 06:25:20.0,1,91.04
276,2000-05-25 10:47:56.0,1,92.12
286,2000-05-12 06:14:35.0,1,91.77
290,2000-03-20 07:06:54.0,1,95.49
293,2000-03-08 02:30:55.0,1,91.77
295,2000-01-20 16:37:04.0,1,96.99
302,2000-09-03 14:30:47.0,1,96.53
310,2000-06-28 01:05:12.0,1,93.94
313,2000-08-30 12:30:45.0,1,94.12
344,2000-02-08 20:56:09.0,1,98.62
376,2000-09-14 18:31:16.0,1,97.94
377,2000-10-11 04:54:04.0,1,95.45
380,2000-09-15 15:02:38.0,1,98.27
381,2000-10-14 17:26:20.0,1,99.28
403,2000-04-08 21:56:07.0,1,96.33
406,2000-01-28 09:12:40.0,1,98.23
419,2000-09-02 02:11:27.0,1,94.28
454,2000-09-26 01:37:50.0,1,99.77
458,2000-06-01 14:41:31.0,1,93.51
468,2000-05-12 16:33:46.0,1,93.64
473,2000-08-02 08:34:33.0,1,97.21
498,2000-10-05 18:07:50.0,1,95.2
508,2000-01-01 14:01:02.0,1,90.21
517,2000-04-26 17:17:29.0,1,96.44
521,2000-08-08 07:14:51.0,1,93.57
529,2000-07-03 09:00:03.0,1,96.93
535,2000-12-02 14:31:16.0,1,93.64
538,2000-09-17 19:12:23.0,1,95.8
548,2000-06-02 22:13:14.0,1,94.16
550,2000-08-16 11:59:52.0,1,95.63
561,2000-12-23 21:55:17.0,1,96.88
568,2000-09-17 05:16:47.0,1,98.03
583,2000-01-17 02:43:05.0,1,98.89
590,2000-05-24 18:30:24.0,1,96.97
612,2000-11-25 20:00:53.0,1,92.96
621,2000-09-10 13:48:47.0,1,95.31
644,2000-05-04 13:50:25.0,1,90.45
658,2000-09-26 05:29:53.0,1,92.67
662,2000-10-21 01:03:23.0,1,94.77
676,2000-02-17 03:15:49.0,1,93.04
685,2000-07-12 14:19:57.0,1,95.91
693,2000-03-17 09:40:12.0,1,97.98
707,2000-08-10 09:54:00.0,1,96.39
719,2000-01-16 15:32:57.0,1,90.99
721,2000-08-13 23:41:55.0,1,96.55
722,2000-12-20 04:33:19.0,1,95.49
731,2000-04-28 14:38:47.0,1,99.42
732,2000-12-29 17:36:29.0,1,99.95
752,2000-10-01 22:04:51.0,1,98.61
787,2000-04-10 08:25:16.0,1,94.2
789,2000-05-09 04:15:14.0,1,96.25
793,2000-10-14 10:24:08.0,1,90.12
804,2000-06-29 08:51:21.0,1,95.18
824,2000-04-06 05:07:45.0,1,94.6
830,2000-08-03 17:58:46.0,1,97.09
838,2000-04-09 10:59:23.0,1,95.21
843,2000-10-19 15:37:39.0,1,94.83
878,2000-05-07 00:19:01.0,1,93.55
888,2000-04-18 12:19:05.0,1,99.33
899,2000-04-11 22:36:54.0,1,95.28
906,2000-06-01 03:52:02.0,1,96.39
907,2000-07-26 17:40:57.0,1,95.35
920,2000-08-17 17:21:47.0,1,98.17
925,2000-11-03 08:12:42.0,1,91.92
928,2000-10-16 23:41:20.0,1,92.84
